2,2,2.0,2025-04-02,00:58,2
餐饮,午餐,35.50,2023-12-01,00:59,12:30
餐饮,晚餐,89.00,2023-12-01,00:59,19:15
交通,出租车,56.00,2023-12-01,00:59,18:45
交通,地铁,4.00,2023-12-02,00:59,08:30
购物,日用品,128.50,2023-12-02,00:59,10:15
购物,衣服,299.00,2023-12-03,00:59,15:20
教育,网课,199.00,2023-12-04,00:59,20:00
医疗,药品,87.60,2023-12-05,00:59,09:30
娱乐,电影票,80.00,2023-12-05,00:59,19:00
住宿,酒店,450.00,2023-12-06,00:59,14:00
工资,月薪,12000.00,2023-12-10,00:59,10:00
奖金,年终奖,5000.00,2023-12-25,00:59,10:00
通讯,手机话费,100.00,2023-12-15,00:59,15:00
水电,电费,150.00,2023-12-18,00:59,16:00
餐饮,午餐,35.50,2023-12-01,01:01,12:30
餐饮,晚餐,89.00,2023-12-01,01:01,19:15
交通,出租车,56.00,2023-12-01,01:01,18:45
交通,地铁,4.00,2023-12-02,01:01,08:30
购物,日用品,128.50,2023-12-02,01:01,10:15
购物,衣服,299.00,2023-12-03,01:01,15:20
教育,网课,199.00,2023-12-04,01:01,20:00
医疗,药品,87.60,2023-12-05,01:01,09:30
娱乐,电影票,80.00,2023-12-05,01:01,19:00
住宿,酒店,450.00,2023-12-06,01:01,14:00
工资,月薪,12000.00,2023-12-10,01:01,10:00
奖金,年终奖,5000.00,2023-12-25,01:01,10:00
通讯,手机话费,100.00,2023-12-15,01:01,15:00
水电,电费,150.00,2023-12-18,01:01,16:00
餐饮,午餐,35.50,2023-12-01,01:03,12:30
餐饮,晚餐,89.00,2023-12-01,01:03,19:15
交通,出租车,56.00,2023-12-01,01:03,18:45
交通,地铁,4.00,2023-12-02,01:03,08:30
购物,日用品,128.50,2023-12-02,01:03,10:15
购物,衣服,299.00,2023-12-03,01:03,15:20
教育,网课,199.00,2023-12-04,01:03,20:00
医疗,药品,87.60,2023-12-05,01:03,09:30
娱乐,电影票,80.00,2023-12-05,01:03,19:00
住宿,酒店,450.00,2023-12-06,01:03,14:00
工资,月薪,12000.00,2023-12-10,01:03,10:00
奖金,年终奖,5000.00,2023-12-25,01:03,10:00
通讯,手机话费,100.00,2023-12-15,01:03,15:00
水电,电费,150.00,2023-12-18,01:03,16:00
餐饮,午餐,35.50,2023-12-01,01:11,12:30
餐饮,晚餐,89.00,2023-12-01,01:11,19:15
交通,出租车,56.00,2023-12-01,01:11,18:45
交通,地铁,4.00,2023-12-02,01:11,08:30
购物,日用品,128.50,2023-12-02,01:11,10:15
购物,衣服,299.00,2023-12-03,01:11,15:20
教育,网课,199.00,2023-12-04,01:11,20:00
医疗,药品,87.60,2023-12-05,01:11,09:30
娱乐,电影票,80.00,2023-12-05,01:11,19:00
住宿,酒店,450.00,2023-12-06,01:11,14:00
工资,月薪,12000.00,2023-12-10,01:11,10:00
奖金,年终奖,5000.00,2023-12-25,01:11,10:00
通讯,手机话费,100.00,2023-12-15,01:11,15:00
水电,电费,150.00,2023-12-18,01:11,16:00
1,1,1.0,2025-04-10,01:11,1
餐饮,午餐,35.50,2023-12-01,01:13,12:30
餐饮,晚餐,89.00,2023-12-01,01:13,19:15
交通,出租车,56.00,2023-12-01,01:13,18:45
交通,地铁,4.00,2023-12-02,01:13,08:30
购物,日用品,128.50,2023-12-02,01:13,10:15
购物,衣服,299.00,2023-12-03,01:13,15:20
教育,网课,199.00,2023-12-04,01:13,20:00
医疗,药品,87.60,2023-12-05,01:13,09:30
娱乐,电影票,80.00,2023-12-05,01:13,19:00
住宿,酒店,450.00,2023-12-06,01:13,14:00
工资,月薪,12000.00,2023-12-10,01:13,10:00
奖金,年终奖,5000.00,2023-12-25,01:13,10:00
通讯,手机话费,100.00,2023-12-15,01:13,15:00
水电,电费,150.00,2023-12-18,01:13,16:00
1,1,1.0,2025-04-08,01:13,1
餐饮,午餐,35.50,2023-12-01,01:16,12:30
餐饮,晚餐,89.00,2023-12-01,01:16,19:15
交通,出租车,56.00,2023-12-01,01:16,18:45
交通,地铁,4.00,2023-12-02,01:16,08:30
购物,日用品,128.50,2023-12-02,01:16,10:15
购物,衣服,299.00,2023-12-03,01:16,15:20
教育,网课,199.00,2023-12-04,01:16,20:00
医疗,药品,87.60,2023-12-05,01:16,09:30
娱乐,电影票,80.00,2023-12-05,01:16,19:00
住宿,酒店,450.00,2023-12-06,01:16,14:00
工资,月薪,12000.00,2023-12-10,01:16,10:00
奖金,年终奖,5000.00,2023-12-25,01:16,10:00
通讯,手机话费,100.00,2023-12-15,01:16,15:00
水电,电费,150.00,2023-12-18,01:16,16:00
餐饮,午餐,35.50,2023-12-01,01:21,12:30
餐饮,晚餐,89.00,2023-12-01,01:21,19:15
交通,出租车,56.00,2023-12-01,01:21,18:45
交通,地铁,4.00,2023-12-02,01:21,08:30
购物,日用品,128.50,2023-12-02,01:21,10:15
购物,衣服,299.00,2023-12-03,01:21,15:20
教育,网课,199.00,2023-12-04,01:21,20:00
医疗,药品,87.60,2023-12-05,01:21,09:30
娱乐,电影票,80.00,2023-12-05,01:21,19:00
住宿,酒店,450.00,2023-12-06,01:21,14:00
工资,月薪,12000.00,2023-12-10,01:21,10:00
奖金,年终奖,5000.00,2023-12-25,01:21,10:00
通讯,手机话费,100.00,2023-12-15,01:21,15:00
水电,电费,150.00,2023-12-18,01:21,16:00
餐饮,午餐,35.50,2023-12-01,01:27,12:30
餐饮,晚餐,89.00,2023-12-01,01:27,19:15
交通,出租车,56.00,2023-12-01,01:27,18:45
交通,地铁,4.00,2023-12-02,01:27,08:30
购物,日用品,128.50,2023-12-02,01:27,10:15
购物,衣服,299.00,2023-12-03,01:27,15:20
教育,网课,199.00,2023-12-04,01:27,20:00
医疗,药品,87.60,2023-12-05,01:27,09:30
娱乐,电影票,80.00,2023-12-05,01:27,19:00
住宿,酒店,450.00,2023-12-06,01:27,14:00
工资,月薪,12000.00,2023-12-10,01:27,10:00
奖金,年终奖,5000.00,2023-12-25,01:27,10:00
通讯,手机话费,100.00,2023-12-15,01:27,15:00
水电,电费,150.00,2023-12-18,01:27,16:00
